Id,SalePrice
1001,51663.39210807753
1002,71353.32196034637
1003,252565.20322018594
1004,147433.55704622646
1005,218972.9303698975
1006,128450.99542129552
1007,206140.8511063665
1008,65193.20560834411
1009,240087.98118934198
1010,88901.98202241608
1011,109986.68573247502
1012,95319.84215322172
1013,153108.2741370343
1014,96413.90090725006
1015,132462.30987184914
1016,232542.89376412588
1017,223726.55986489827
1018,216123.90181692952
1019,188963.7032122679
1020,204845.15602318587
1021,155145.56168538774
1022,218783.81590915285
1023,113754.70064532146
1024,208874.50549643592
1025,344689.30469655327
1026,117983.89179296751
1027,159593.93190613622
1028,282985.35452732845
1029,123151.44160962937
1030,128135.57978377311
1031,102477.44642883947
1032,254105.88173297525
1033,310695.8075519447
1034,244398.46255371894
1035,105841.3906253883
1036,56819.6266531311
1037,301086.6943074985
1038,267243.4761041489
1039,76421.01143018488
1040,51989.135836874775
1041,184928.8955133548
1042,174942.25596939027
1043,199035.07016871916
1044,271965.3715623516
1045,314143.5552184994
1046,110935.79404712754
1047,353402.7281403473
1048,134716.08218855166
1049,167499.69371580984
1050,91628.56090413552
1051,194105.52727854042
1052,199137.87666256336
1053,196067.8046662463
1054,144180.72603175108
1055,268545.5253919745
1056,201398.6599302629
1057,216077.3880869446
1058,235341.49765669892
1059,318755.9069565387
1060,182658.68748669786
1061,219294.4361068827
1062,80338.77269547124
1063,119274.08147089957
1064,147652.7669461912
1065,138304.29460853018
1066,264756.17858365254
1067,185815.94118350203
1068,187837.82556526287
1069,229756.41656263446
1070,119334.74111429782
1071,130652.72098069516
1072,160088.85824132303
1073,114534.96258967713
1074,165252.3002997524
1075,210034.18461652682
1076,178027.79391360073
1077,174616.60240054096
1078,129937.21762795094
1079,154779.9966415976
1080,118580.28861786728
1081,174469.72274207813
1082,117324.66722969484
1083,210020.618554583
1084,164361.58869446273
1085,186826.48705628957
1086,163709.48761621624
1087,68417.73264968017
1088,268771.89146303234
1089,190010.13922374666
1090,219162.88824314182
1091,48249.5741599999
1092,167268.4644403535
1093,166366.8721141682
1094,180538.74056818784
1095,129293.77037178923
1096,180825.4024366709
1097,123883.81908107613
1098,171215.59120569483
1099,91847.2356681524
1100,211338.89847322193
1101,3709.582248019229
1102,103195.05195885082
1103,140761.64681623114
1104,157687.08081922983
1105,106717.30375320977
1106,314150.02055986726
1107,209709.8447728312
1108,242657.10290135175
1109,191468.4500133851
1110,285691.58572301397
1111,205382.9562957547
1112,211185.02029684215
1113,120939.71602471109
1114,142570.85673332668
1115,108730.69727601926
1116,279186.644068755
1117,218627.81128520705
1118,135132.97242950165
1119,137113.7278563326
1120,115069.79211717239
1121,119452.9894784661
1122,230549.66485714784
1123,72745.67296372057
1124,93668.36875820073
1125,186859.36692423752
1126,101681.5324960479
1127,222081.30727508187
1128,254529.22126150172
1129,220419.94365691696
1130,127755.55826347833
1131,150650.27097538847
1132,102668.49417815625
1133,132855.97105459124
1134,251108.34855314135
1135,185947.26556832518
1136,111571.52693733678
1137,127400.3980649297
1138,83316.5845095992
1139,222570.5950746502
1140,123971.99987085315
1141,132772.02598029206
1142,200467.23232027132
1143,343025.410245355
1144,79521.14856861095
1145,54008.585485710995
1146,132835.5699057959
1147,191914.14505614655
1148,166593.58547581156
1149,138341.2404659415
1150,182010.54016185197
1151,116388.19778003718
1152,153934.36562457122
1153,207450.21430092625
1154,127470.29354601738
1155,220485.12737255468
1156,204840.40062374732
1157,154707.16042101727
1158,212984.116035397
1159,246097.789835296
1160,188934.66662119137
1161,148836.91421934433
1162,210026.48421217024
1163,114290.23897426121
1164,146952.23060950462
1165,176179.25011077832
1166,211085.60845473048
1167,255939.36119418713
1168,208015.65501408326
1169,202490.94070141367
1170,431420.21680607786
1171,129876.3368677664
1172,184122.90529174643
1173,162831.42065087467
1174,242495.01804142643
1175,212915.01281017496
1176,300467.6997698617
1177,128143.95445680042
1178,128920.1020561477
1179,113480.42172543512
1180,85723.70148796309
1181,253721.3053265278
1182,253929.86670698598
1183,453431.308111905
1184,143911.4104923433
1185,203148.4350668111
1186,113362.01303008472
1187,72712.43168413662
1188,272794.1274488674
1189,204459.90234584303
1190,214091.76758841128
1191,174657.3343809073
1192,193601.931938319
1193,125208.6746469406
1194,169687.51495644613
1195,147441.52517289476
1196,181264.89283277106
1197,234338.2378660845
1198,162033.7635329527
1199,194548.27271285048
1200,128521.06941916281
1201,77040.94207890419
1202,206286.57710600673
1203,126615.99667361449
1204,213623.17591252236
1205,146638.41631831258
1206,276025.4066766237
1207,112560.29031615151
1208,222917.30853014818
1209,152061.8670330642
1210,279530.29206478834
1211,215601.2316836352
1212,236629.44080116833
1213,69992.85404022131
1214,129660.28609951294
1215,114644.43722752831
1216,93763.28698358597
1217,152424.17972456082
1218,233795.48237444717
1219,42686.65573464538
1220,107245.1146977187
1221,105176.28591883776
1222,114132.51077144622
1223,173735.79212024919
1224,177057.4509740583
1225,224156.33799625555
1226,140956.89814745006
1227,220286.7843746696
1228,148051.67853457876
1229,311995.46605033067
1230,123907.23078370234
1231,212829.76757612685
1232,136085.81908107072
1233,88068.72086997575
1234,143205.5719041319
1235,108539.28707617131
1236,125712.20924589818
1237,184261.3874193651
1238,220508.41433480242
1239,163543.90995847253
1240,243829.5348339465
1241,227578.45250327425
1242,239256.20344403794
1243,185597.69866382342
1244,354892.11578239896
1245,193024.27754273347
1246,216646.9986536351
1247,193231.4808490065
1248,156180.0700276742
1249,174827.13513423072
1250,109080.37612047262
1251,260289.49404941092
1252,198903.4136310015
1253,110867.36118520761
1254,264123.64503964974
1255,207692.740917309
1256,139895.1349308004
1257,298617.1724017985
1258,76414.49225547875
1259,198188.18274461525
1260,173834.96267468063
1261,191584.89507174026
1262,117760.77496919717
1263,131251.6126733229
1264,168097.39757737954
1265,176387.0742451225
1266,179640.45629828068
1267,128432.20288957795
1268,312937.5164711799
1269,350635.11700626224
1270,131807.20624963823
1271,252111.47639908968
1272,184894.3696418262
1273,120636.5554714218
1274,179229.2217817207
1275,134050.48005669168
1276,145520.86675953167
